Fe,C,O,Mg,Si,Ca,Ti,S,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk_num,f_spec,f_spec_num,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_name_class
0.17,0.09,0.08,0.13,0.14,0.2,0.12,0.26,301.29,38.48,12.76,-3.98,13.21,18.79,1,2,22,6.17,0.65,-26.6,-17.7,-15.6,5795.8,4.41,0
0.24,,,0.34,0.25,0.35,0.54,0.34,301.29,2.12,-34.38,10.66,58.98,69.1,1,3,36,6.77,0.48,13,-24.3,-16.8,6375,,0
-0.03,-0.14,,0.04,-0.06,0.02,0.17,,104.18,-60.69,25.24,14.09,44.7,53.23,0,1,10,10.02,0.96,9999,9999,9999,4986,4.54,0
0.15,0.23,0.31,0.08,0.17,0.08,0.12,0.09,203.45,-68.52,-54.8,51.65,51.09,91,1,2,21,8.72,0.63,-26.6,-50.5,2.8,6239,,0
0.26,,0.24,,0.2,,,,1.97,55.58,-10.62,25.39,-40.31,48.81,1,2,20,7.81,0.61,-41.9,-20.4,-5.9,5965,,0
0.13,-0.14,-0.01,0.26,0.27,0.22,0.18,0.72,104.23,46.71,82.92,52.1,43.56,107.18,1,1,10,5.88,1.09,-58.9,-12.2,-39.9,,,0
0.17,0.13,0.09,0.11,0.13,0.19,0.13,0.17,348.81,52.35,30.19,2.69,53.47,61.46,1,2,20,8.25,0.61,-45.2,-23.7,-13.5,6165,,0
0.31,,0.08,,,,,,203.49,17.47,-13.82,11.96,-95.41,97.15,1,2,20,8.92,0.72,-19,-47.9,-5.5,,,0
,-0.36,-0.27,0.11,0.09,0.09,-0.01,0.26,104.25,33.68,71.55,46.84,102.71,133.65,1,2,25,5.93,0.88,5.4,6,-14.2,5180,3.05,0
-0.23,-0.09,-0.16,-0.09,-0.17,-0.14,-0.11,-0.21,301.39,-67.32,-3.88,0.81,17.45,17.9,1,2,22,6.07,0.65,-69.6,-31.7,-49.8,5721.7,4.38,0
-0.2,0.18,0.1,-0.08,-0.08,-0.11,-0.18,-0.06,2.02,53.8,39.38,-81.78,-37.22,98.1,1,3,38,8.17,0.62,-7.3,-56.8,-30.8,5773,3.83,0
-0.28,,,-0.1,-0.14,-0.24,-0.16,0.93,203.51,33.23,4.18,-3.45,21.99,22.65,1,1,14,9.19,1.08,-42.7,10.5,2.8,,,0
0.1,0.39,0.22,0.23,0.16,0.03,0.23,,301.39,3.5,-38.42,7.9,-14.81,41.92,1,2,28,8.33,0.78,-22.1,-37.7,-28.6,5375.7,4.45,0
-0.29,,,-0.14,-0.16,-0.15,-0.14,,284.07,-42.71,7.13,28.69,95.85,100.31,1,1,10,5.36,1,-19.4,-14,13.1,4804,2.54,0
