Fe,C,O,Mg,Si,Ca,Ti,S,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk_num,f_spec,f_spec_num,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_name_class
0.14,0.14,-0.07,0.15,0.13,0.17,0.14,0.13,180.94,-44.12,15.56,-50.06,-7.41,52.94,1,2,22,8.07,0.65,23.1,7.2,11.4,5837.5,4.43,0
0.15,0.05,0.04,0.14,0.14,0.12,0.17,0.1,280.14,-48.57,5.99,3.57,54.89,55.34,1,2,26,8.91,0.76,-45.2,-10.5,-18.5,5516.3,4.49,0
-0.41,-0.19,-0.2,-0.28,-0.32,-0.33,-0.21,,280.23,31.53,-19.22,-13.93,2.79,23.9,1,1,12,8.5,0.87,93.6,-2.3,-33.5,4848.5,4.4,0
0.21,-0.02,0.09,0.3,0.39,0.32,0.26,0.72,280.24,62.75,-88.32,-64.84,-9.05,109.94,1,1,10,6.1,0.98,-27.1,-24.3,-9.8,,,0
-0.78,-0.47,-0.26,-0.44,-0.52,-0.55,-0.48,,181.02,3.34,-26.22,65.33,-14.21,71.82,1,2,23,9.22,0.59,98.5,-127,-56,5729.4,4.51,0
-0.1,0.04,-0.03,-0.05,-0.06,0.01,0.01,,83.43,-54.9,0.76,-4.14,55.55,55.71,1,3,38,6.43,0.55,-7.6,-40.7,-5.8,6182,4.16,0
0.21,0.11,,,,,,,83.44,38.88,-5.52,29.68,72.72,78.74,1,2,20,8.76,0.62,15.8,6.4,-1.8,,,0
0.31,0.18,0.13,0.58,0.52,0.31,0.37,1.3,181.05,-22.37,-42.69,99.88,43.37,116.96,1,1,12,7.93,1.15,-74.6,-99.6,16.7,,,0
-0.38,0.01,-0.14,-0.31,-0.26,-0.38,-0.45,-0.07,83.5,15.58,14.46,-57.15,7.31,59.4,1,3,38,7.32,0.58,17.8,4.3,-14.5,5850.2,3.95,0
-0.1,-0.18,,-0.17,-0.12,-0.05,0.12,,280.32,-63.53,-21.45,-18.72,-24.11,37.31,1,1,12,9.41,0.99,8.3,0.6,-4.7,4891.3,4.48,0
0.04,0.06,0.06,-0.07,-0.03,0.09,-0.03,,181.14,66.34,-20.17,37.01,-16.02,45.09,1,3,38,7.91,0.6,-8.5,-3.3,-17.8,5956,,0
-0.04,,,-0.05,-0.04,-0.02,0.02,0.08,280.33,4.56,4.78,4.31,-41.4,41.9,1,3,37,7.06,0.51,-0.6,-1.9,-13,6330.5,4.49,0
-0.05,,,0.13,-0.06,0.05,0.02,-0.08,280.34,7.9,3.17,2.89,86.34,86.44,1,3,38,7.99,0.57,-7.5,-52.2,-40.5,6298.5,,0
-0.14,-0.22,,-0.13,-0.15,-0.06,0.15,,198.09,-23.34,8.78,1.48,38.58,39.59,0,1,13,9.77,1.03,9999,9999,9999,4747,4.28,0
0.04,0.02,-0.06,-0.03,-0.08,0.03,-0.05,,83.57,11.99,-19.38,58.27,-40.01,73.3,1,2,20,9.1,0.66,-11.9,5.7,-6.5,5904,4.49,0
0.2,0.18,0.09,0.23,0.14,0.24,0.17,0.19,66.67,16.75,17.94,14.92,-39.66,46.02,1,2,22,8.12,0.66,-41.5,-18.7,-1.1,5730.4,4.43,0
-0.16,,,-0.09,-0.15,-0.08,0.04,,181.24,17.48,4.16,-6.13,-36.94,37.68,1,2,25,8.65,0.77,22.6,-32.9,4.1,5293.5,,0
-0.01,-0.03,-0.04,0,-0.02,0.04,0.05,0.07,280.51,-34.47,20.36,26.09,-3.03,33.23,1,2,28,7.92,0.75,-11.8,-10.1,-0.5,5543.2,4.46,0
-0.05,-0.11,0.01,0.04,-0.07,-0.04,-0.02,-0.06,280.51,-64.32,-2.64,-3.4,-54.29,54.45,1,2,25,8.67,0.68,-32.6,-38.7,-17.5,5687.7,4.42,0
-0.05,,,0.14,0.04,0.02,0.15,,181.28,19.55,38.4,-51.82,54.86,84.67,0,2,29,9.66,0.72,9999,9999,9999,,,0
-0.31,-0.34,-0.26,-0.21,-0.17,-0.25,-0.25,0.06,181.3,8.73,-23.65,30.43,31.93,50.05,1,2,28,4.12,0.97,-51.6,-2.8,-33.4,4959.7,2.78,0
-0.17,-0.17,-0.23,-0.08,-0.15,-0.12,-0.1,-0.22,181.31,-28.72,-20.18,25.77,15.52,36.22,1,2,22,7.82,0.65,60.4,-22.1,-45.2,5731.4,4.44,0
-0.28,-0.09,0.09,0.07,0,-0.19,-0.05,0.26,181.31,76.91,3.95,-4.97,100.13,100.33,1,2,28,5.8,1.03,76,-8.5,30.6,4740.8,2.47,1
0.08,-0.15,-0.04,0.1,0.21,0.27,0.31,0.32,280.57,-9.05,32.23,46.7,-22.15,60.91,1,3,32,4.71,0.36,-41.9,-16.9,-0.5,6879.5,3.47,0
0.3,0.32,0.22,0.24,0.22,0.25,0.21,,181.4,56.98,64.97,-68.87,43.44,104.17,1,2,25,9.17,0.67,-3.2,-41.2,4.4,,,0
-0.38,,0.08,0.01,-0.23,-0.2,-0.17,,198.13,-34.75,73.95,15.96,14.59,77.04,1,3,35,7.76,0.53,-52.9,-90.9,-81.1,6168,4.04,0
-0.11,-0.16,-0.07,0.05,0.16,-0.03,0.01,0.63,181.42,62.93,91.62,-93.76,13.32,131.77,1,1,11,6.14,1.18,-0.9,-53.7,-4.5,,,0
0,,,0.15,0.05,0.05,0.2,-0.06,280.69,5.69,-23.96,-45.87,-35.09,62.52,1,3,35,7.6,0.45,-5.9,-28.4,-0.4,6586,,0
0.07,,,0.39,0.21,0.18,0.19,0.73,280.71,57.87,-7.43,-14.76,63.59,65.7,1,2,25,7.93,0.65,-13.4,4.5,-38.1,5912,,0
-0.06,0.01,0.03,0.03,-0.1,-0.02,-0.02,,181.52,-32.96,0.95,-0.79,-48.29,48.31,1,2,20,6.62,0.62,17.7,-51.4,-32.2,5877,3.87,0
-0.34,-0.27,-0.25,-0.16,-0.31,-0.3,-0.25,-0.3,280.79,-45.9,6.37,15.68,-46.7,49.67,0,2,23,8.54,0.63,9999,9999,9999,5728,4.58,0
-0.38,-0.23,-0.27,-0.26,-0.38,-0.33,-0.26,,83.92,-27.62,39.31,-49.72,-48.54,79.83,1,2,25,8.22,0.71,62.7,-53.8,-20.9,5479,3.9,0
0.09,0.15,-0.11,,,,,,9.71,9.74,112.43,32.36,-38.6,123.19,1,2,20,9.71,0.66,-6.1,-11.3,-9.4,,,0
0.04,,,,,,,,181.72,-64.61,-3.6,1.93,-19.05,19.49,1,3,32,4.14,0.35,8.1,-7.3,-3.3,6939,,0
-0.06,,,-0.01,-0.1,-0.07,-0.06,,181.74,5.8,36.02,-18.61,-21.1,45.7,0,1,10,8.42,0.78,9999,9999,9999,5423,4.41,0
-0.08,0.02,-0.09,0.22,0.06,-0.02,0.02,0.04,280.9,36.56,-14.71,-52.71,-119.86,131.76,1,2,28,6.06,1.04,-60.9,-35.7,-16.7,4780,2.4,1
0.19,,,0.24,0.29,0.23,0.2,,280.91,-64.55,4.59,16.8,-116.19,117.49,1,1,10,5.77,0.97,-24.1,-11.8,-7.2,5082,2.94,0
-0.14,-0.06,-0.08,-0.14,-0.12,-0.08,-0.04,,280.91,-45.82,4,14.89,-55.51,57.61,0,2,25,9.05,0.64,9999,9999,9999,5645,4.5,0
-0.23,,,-0.23,-0.25,-0.21,-0.13,,280.92,-50.17,-15.38,-59.36,6.18,61.63,1,2,25,9.27,0.69,-49.5,-51.5,12.4,5669,,0
-0.08,0.12,0.02,-0.28,-0.09,-0.21,-0.32,0.19,84.1,32,-37.13,32.49,32.86,59.28,1,3,35,7.99,0.56,2.5,-9.7,-9.8,5984.8,4.27,0
0.05,-0.79,-0.08,-0.26,0.52,0.38,0.9,-0.1,84.13,25.94,-45.46,38.07,61.97,85.76,1,3,35,6.52,0.45,-2.2,8.9,8.1,6503,,0
0.49,,,-0.01,1.07,0.45,0.37,2.72,84.13,11.33,-2.87,2.39,-10.81,11.43,1,0,0,8.78,1.42,-20.1,-7.7,-5.8,,,0
0.36,0.33,0.18,0.23,0.27,0.29,0.24,,181.82,10.53,-36.63,15.3,-79.3,88.68,1,2,25,8.39,0.66,3.6,-34.8,-26.4,5875,,0
0.24,,,0.33,0.19,0.33,0.26,0.1,280.98,2.62,14.01,72.83,42.49,85.47,1,2,20,7.97,0.62,-23.2,-48.9,-1.8,6123,,0
-0.13,-0.07,0.09,-0.05,-0.18,-0.1,0,,231.08,38.19,14.52,-84.57,45.62,97.18,1,1,10,7.57,0.96,6.4,-71,29.3,,,0
-0.06,,-0.08,,,,,,181.87,13.03,36.63,-13.11,19.59,43.56,1,1,11,9.63,0.96,-53.2,-68,14.4,,,0
0.12,,,0.1,0.23,0.22,0.18,,281.03,-36.72,-8.28,-58.99,88.97,107.07,1,1,10,6.31,0.98,-32.3,-14.4,-11.2,5026,2.99,0
-0.52,-0.5,-0.32,-0.19,-0.37,-0.35,-0.32,0.11,84.23,9.29,28.11,-19.08,4.58,34.28,1,2,29,4.09,0.95,-76.1,-77.1,-32.3,4769.1,2.66,0
0.13,0.26,0.05,0.13,0.18,0.16,0.2,,181.91,-23.98,14.66,-4.53,34.92,38.15,1,2,20,6.71,0.61,39.4,-20.5,-24.6,5933.5,4.15,0
-0.17,0.06,-0.02,-0.16,-0.11,-0.13,-0.03,,84.26,-73.7,4.1,-2.6,37.72,38.03,1,3,39,6.7,0.58,31.8,-62,-8.1,5981,4.23,1
-0.37,-0.06,-0.04,-0.07,-0.24,-0.3,-0.11,-0.2,84.26,20.73,8.18,-5.16,30.13,31.64,1,2,24,7.68,0.67,32.8,-46.9,-43.7,5548.4,4.47,1
0.1,0.17,0.05,0.16,0.1,0.13,0.1,-0.02,84.29,-80.47,-5.54,3.26,17.15,18.32,1,2,20,5.67,0.6,-83.2,-47.4,-1.2,5951.9,4.37,1
-0.19,-0.25,,-0.16,-0.2,-0.04,0.14,,231.09,-19.74,5.08,-27.71,-34.76,44.74,0,1,13,10.14,1.02,9999,9999,9999,4797,4.41,0
-0.17,,,,-0.16,,-0.12,,182.03,39.66,-17.55,3.25,43.97,47.45,1,3,38,7.33,0.52,-28.8,-16.6,-3,6175.3,4.23,0
0.22,0.44,0.14,0.25,0.33,0.21,0.31,0.2,281.15,43.83,-0.7,-26.7,-4.01,27,1,1,10,7.52,0.84,-9.5,-46.5,-3.5,5372.3,4.35,0
-0.04,-0.21,,-0.01,0.01,0.01,0.13,-0.21,182.1,-24.73,13.66,-1.49,5.87,14.94,1,3,31,4,0.33,8,-0.2,0.7,7062.9,4.42,0
0.17,0.17,0.12,0.14,0.13,0.17,0.13,,84.39,74.69,-36.06,16.69,-34.12,52.37,1,2,22,7.74,0.62,12.6,-60.2,-45,5953.8,4.38,0
-0.67,-0.41,-0.37,-0.56,-0.55,-0.7,-0.69,,84.41,68.74,-84.32,36.46,-36.68,98.92,1,3,38,9.55,0.51,-9.2,-101.3,42,5850.3,4.59,0
-0.69,-0.24,-0.22,-0.37,-0.57,-0.43,-0.44,,182.23,21.79,-76.71,-1.18,15.74,78.31,1,2,22,9.44,0.65,-133.2,-54.6,-32.5,5430.6,4.16,0
0.2,0.16,0.33,0.15,0.19,0.13,0.19,0.11,84.45,-54.56,42.03,-16.39,102.77,112.23,0,2,25,7.72,0.76,9999,9999,9999,,,0
0.15,,0.13,,,,,,182.32,42.48,3.71,0.39,-53.01,53.14,1,2,25,8.48,0.66,-28.6,-18.2,-4.5,5714,4.42,0
-0.22,-0.37,,-0.2,-0.2,-0.23,-0.14,-0.37,84.54,-46.11,12.82,-3.74,-21.64,25.43,1,2,29,7.33,0.77,52.9,-12,-27.6,5399,,0
0.22,,,2.07,0.7,0.91,0.79,,315.61,27.81,-5.51,-44.89,22.8,50.65,1,2,20,7.37,0.61,-22.2,-21.9,-10,5800,,0
-0.37,-0.06,-0.16,-0.19,-0.21,-0.2,-0.15,0.33,84.55,51.45,-7.51,2.11,18.95,20.49,1,1,11,7.73,0.83,47.4,20.6,-47.5,5000,4.44,0
0.07,-0.09,0.17,-0.11,0.05,0.07,0.06,0.04,281.42,20.55,-0.59,2.38,19.38,19.54,1,3,35,4.19,0.48,37.7,1.8,-7.9,6359.5,4.05,0
0.2,0.11,-0.16,0.16,0.13,0.21,0.21,0.56,182.41,40.25,-20.47,-4,13.92,25.08,1,2,28,7.47,0.79,-28.6,-22.5,-6.9,5409.8,4.47,0
0.19,,,0.41,0.25,0.27,0.3,0.57,163.38,69.85,33.14,0.5,30.19,44.83,1,1,11,5.91,1.01,-78.7,-28.6,-18.4,,,0
0.11,-0.04,-0.04,0.22,0.25,0.04,0.18,0.8,182.42,1.9,-23.31,-4.96,70.25,74.18,1,1,10,5.96,1.12,43.3,-41.5,-22.6,4638,2.83,0
0.06,0,,-0.01,0,0.14,0.29,,182.48,-46.21,-11.6,-3.17,-15.65,19.74,1,1,14,8.44,1.14,-30.8,-14.4,-14.3,4635,4.42,0
-0.26,-0.02,0.1,-0.16,-0.18,-0.16,-0.14,-0.16,182.49,-13.44,50.63,14.54,-62.33,81.61,1,2,20,8.32,0.54,-23.4,40.2,-45.4,6112,,0
-0.03,0.12,0.01,0.03,0.01,0.02,0.03,,84.66,-16.92,19.43,-3.24,52.42,56,1,2,23,7.59,0.61,-30.1,-75.6,-13.8,5923,4.18,0
-0.51,-0.35,,-0.51,-0.53,-0.33,-0.1,,84.67,-38.36,-23.02,3.58,-18.02,29.45,0,1,13,9.55,1.04,9999,9999,9999,4674,4.43,0
0.03,-0.04,-0.08,-0.04,-0.02,0.02,0.05,-0.05,182.53,-49.18,16.74,5.45,33.32,37.69,1,2,25,8.2,0.71,-13.5,-27.9,-10.9,5588,,0
0.02,-0.23,-0.2,0.08,0.42,0.03,-0.07,1.2,182.53,-22.62,-61.18,-20.19,46.84,79.65,1,1,12,2.98,1.33,-29.4,-16.7,1.5,4397.5,2.23,0
-0.19,-0.36,-0.27,-0.07,-0.11,-0.15,-0.15,0.2,281.52,-27.5,-22.37,62.54,-65.09,93,0,1,10,6.62,0.94,9999,9999,9999,4994,3.17,0
,-0.19,-0.04,0.24,0.17,-0.03,0.01,0.74,281.52,26.66,1.02,-2.82,72.34,72.4,1,1,12,4.84,1.2,-18,-7.4,-6.2,4410.5,2.57,0
-0.71,-0.31,-0.12,-0.44,-0.5,-0.52,-0.48,,182.57,54.49,-36.67,-13.54,-73.34,83.11,1,2,20,8.59,0.57,39.3,-7.3,-24.5,5757.2,3.92,0
0.1,,,0.21,0.11,0.08,0.05,,182.59,-43.87,109.22,43.62,13.15,118.34,1,2,28,8.94,0.74,-37.5,-49.6,-1.3,5798.5,,0
-0.21,-0.16,,-0.18,-0.2,-0.16,-0.14,,182.66,-16.96,-15.74,-7.6,52.32,55.17,0,2,23,8.64,0.62,9999,9999,9999,5792,4.51,0
0.13,-0.05,0.03,0.03,-0.1,0.08,0.06,,182.7,-9.4,-87.73,-46.65,-2.74,99.4,1,2,28,7.48,1,-11.8,2.7,-43,4960,3.08,0
-0.5,-0.39,-0.5,-0.39,-0.42,-0.43,-0.41,-0.42,182.74,-46.32,-21.47,-12.55,-25.7,35.77,1,2,20,7.53,0.57,11.5,0.4,33.9,5918.3,4.53,0
0.31,0.34,0.11,,0.35,,,,182.75,22.86,-22.47,-13.37,-31.03,40.57,1,2,24,8.06,0.77,40.8,5.6,5.5,5468.5,,0
0.29,0.3,0.4,0.39,0.29,0.19,0.37,1.08,214.77,-59.38,-4.69,-10.24,-3.62,11.83,1,1,13,6.66,1.02,-39.8,-14.8,-34.7,4893.3,4.51,0
0.18,,,,,,,,182.78,25.99,47.64,30.43,65.32,86.39,1,2,20,9.54,0.62,-2.3,-5.6,-2.2,,,0
-0.56,,,-0.58,,-0.57,-0.37,,84.93,-5.05,-16.05,-1.8,45.9,48.66,1,2,25,8.89,0.65,-58.3,33.3,31.5,5614.5,4.68,0
0.02,-0.33,-0.1,0.1,0.12,0.11,0.04,0.38,84.96,-32.63,-39.87,-5.4,-107.71,114.98,1,2,26,5.44,0.91,21.5,3.1,-8.9,5178,2.91,0
0.32,0.24,,0.3,0.28,0.19,0.32,0.29,182.84,-32.63,17.8,12.92,-59.49,63.42,0,2,26,8.51,0.74,9999,9999,9999,5762.5,,0
-0.17,-0.09,-0.23,0.08,0.1,-0.05,-0.22,0.55,264.71,32.74,22.51,23.77,129.62,133.69,1,1,10,6.56,0.99,-0.2,-17.9,-2.7,4909.5,2.81,0
0.28,0.03,-0.07,0.3,0.26,0.33,0.31,0.55,66.95,14.42,7.68,11.27,47.34,49.26,1,1,12,9.47,0.93,-42.9,-20.6,-0.4,5085.3,4.6,0
0.3,0.31,0.14,0.35,0.28,0.25,0.29,0.66,85.01,6.06,-44.81,-8.35,-10.32,46.73,1,1,10,8.69,0.83,40,-39.1,-10.3,5340.3,4.32,1
-0.52,-0.35,-0.22,-0.22,-0.35,-0.3,-0.3,-0.26,260.28,1.44,-4.48,2.29,39.18,39.5,1,2,20,7.01,0.57,-165.3,-42.3,-13.1,5788.8,4.08,0
0.04,0.06,0.06,0.07,0.09,0.12,0.16,,182.91,-54.42,-22.31,-18.65,46.36,54.72,1,3,37,6.79,0.56,23.9,-12,5.9,6168.7,4.27,0
-0.39,,,-0.45,-0.27,-0.4,-0.21,,85.07,-19.23,-44.66,-11.39,-18.28,49.58,1,3,32,7.71,0.42,30.8,-13.7,-44.3,6530.8,4.1,0
-0.13,,,,-0.12,,-0.06,,85.07,16.39,43.01,11,-36.26,57.32,1,3,35,7.36,0.52,65.6,-32,-1.8,6265.7,4.07,0
-0.14,,,0.07,0.08,-0.05,0.09,,281.94,-40.41,-73.9,77.23,-49.61,117.84,1,2,25,5.22,0.78,-22.7,-2.9,-11.4,5591,3.48,0
0.07,0.21,0.04,0.13,0.1,0.13,0.11,-0.02,281.95,-77.87,-23.92,24.07,-26.97,43.34,1,3,38,6.4,0.59,32.8,8.1,0.8,5999.2,4.1,0
-0.19,-0.12,-0.24,-0.17,-0.17,-0.12,-0.09,-0.01,147.21,-37.31,-37.15,17.77,16.9,44.51,1,2,28,8.84,0.74,-14.4,7.8,-18.4,5435,4.51,0
-0.27,0.25,,-0.14,-0.25,-0.2,0.02,,282.01,-10.15,-15.45,14.02,18.35,27.79,1,1,12,8.45,0.89,56.5,4.1,-26,,,0
-1.22,,-1,-0.83,-0.71,-1.06,-1.05,,183.01,13.26,72.11,73.26,85.69,133.83,1,3,36,10.16,0.47,12.1,-244.4,30.9,6015.8,4.33,0
-0.19,-0.11,-0.03,-0.12,-0.18,-0.18,-0.17,-0.23,282.05,-14.71,-22.14,18.43,-44.82,53.28,1,3,39,6.85,0.5,-26,-22.7,11.5,6187.3,4.37,0
0.34,,,0.57,0.52,0.15,0.11,1.8,183.02,58.93,-13.96,-14.64,19.38,28.01,1,1,15,10.05,1.28,14.1,3.5,-7.4,,,0
0.03,0.14,-0.01,-0.01,-0.04,0.03,-0.07,0.03,282.07,23.51,-1.09,0.87,-29.49,29.52,1,3,37,6.19,0.49,1.7,3.3,-2.8,6320.4,4.32,0
-0.19,-0.13,-0.22,-0.15,-0.18,-0.15,-0.16,-0.17,85.22,-31.35,-32.18,-13.36,2.26,34.92,1,2,22,7.85,0.65,55,-24.7,-26.5,5715.8,4.45,0
0.08,,-0.04,0.21,0.2,0.24,0.22,1.16,282.12,10.75,-3.39,2.43,-16.34,16.86,1,1,14,7.91,1.07,15.2,-22.3,-25.2,4738.5,4.65,0
-0.17,,0,0.08,-0.11,-0.04,-0.01,,282.14,-50.7,61.36,-42.4,-34.91,82.35,1,2,23,8.67,0.65,-34.4,-72.2,-19.5,5764.3,4.08,0
0.39,0.31,0.12,0.25,0.26,0.32,0.28,,183.1,19.8,34.18,42.22,76.2,93.58,1,1,10,8.37,0.81,21.5,-28.5,-18.7,,,0
-0.01,,,0.13,0,0.07,0.19,-0.03,183.1,27.38,-33.55,-41.53,66.49,85.27,1,3,34,8.09,0.4,-2,-6.1,-0.4,6736.3,4.38,0
0.17,0.17,0.1,0.2,0.15,0.17,0.18,0.25,183.12,-3.08,-21.16,-27.1,-1.97,34.44,1,2,25,7.5,0.7,-118.3,-4.7,32.1,5669.6,4.35,0
-0.1,,-0.07,-0.05,-0.16,-0.05,-0.08,-0.07,345.39,19.27,74.33,-14.06,33.79,82.85,1,2,22,8.67,0.65,-43.5,-28.6,-45.3,5757,4.29,0
0.13,0.14,0.04,0.14,0.09,0.14,0.14,0.4,85.33,53.48,10.67,5.99,-0.91,12.27,1,1,10,6.23,0.84,-13.7,-23.1,-14.4,5227.4,4.51,0
-0.25,-0.23,,-0.18,-0.24,-0.17,-0.14,,85.35,-35.71,20.25,11.72,53.21,58.12,1,2,26,8.97,0.66,22.5,-25,-13.3,5698.7,4.47,0
-0.17,-0.08,0.01,-0.1,-0.12,-0.14,-0.13,,276.59,8.62,-25.09,-3.31,26.54,36.67,1,2,29,8.27,0.76,40.5,-79.6,-8.2,5305.5,4.44,0
0.27,0.28,0.06,0.47,0.18,0.26,0.26,,183.24,10.04,-13.64,-22.57,-18.55,32.24,1,2,28,7.92,0.79,52.6,-25.9,-17.9,5442.5,4.67,0
0.11,,0.09,,,,,,85.39,15.21,28.3,18.15,18.12,38.19,1,2,20,7.69,0.69,49.2,-26.7,-1.1,5649.7,4.33,0
0.27,0.17,,0.18,0.26,0.22,0.23,0.08,198.44,-26.52,-12.11,-6.9,-73.44,74.75,1,2,25,8.61,0.65,48.1,-36,2.1,6122.5,,0
-0.09,,0.05,-0.01,0.01,0.02,-0.05,,183.3,10.82,-2.94,-5.66,-36.31,36.87,1,2,23,7.56,0.67,48.8,-70.5,-50.3,5658.8,4.41,0
-0.28,0.01,0.12,-0.22,-0.16,-0.22,-0.09,-0.11,183.31,-41.8,-27.57,-53.24,85.98,104.82,1,3,35,8.42,0.48,-21.5,12.3,-4.7,6208,,0
-0.34,0.01,0.1,-0.09,-0.17,-0.14,-0.17,,85.44,22.87,40.16,28.78,-59.66,77.46,1,3,35,7.94,0.5,-26.9,-78.3,33.9,6346.6,4.08,0
0.3,0.37,0.2,0.33,0.33,0.26,0.35,0.48,85.47,-15.63,23.83,18.14,-2.32,30.04,1,2,28,7.37,0.8,-31.3,-62.5,0,5506,4.37,0
0,0.03,-0.04,0.02,-0.07,-0.05,-0.04,-0.06,183.37,10.04,-12.27,-28.21,-21.81,37.71,1,2,20,7.36,0.64,28.7,-43.9,0.4,5874,4.36,1
0.33,0.07,0.17,0.58,0.52,0.46,0.44,1.07,85.52,22.66,65.26,54.26,-67.13,108.21,1,1,12,6.35,1.19,23.4,-7.3,-4.9,,,0
0.06,-0.05,-0.03,-0.01,-0.07,0.09,0.03,,183.41,-9.51,-34.39,-86.65,8.28,93.59,1,2,25,7.58,0.74,-22.4,-44.1,3.4,5528,,1
-0.03,0.18,0.12,0.04,-0.03,-0.02,0.1,0.39,183.47,-69.06,9.96,30.36,1.75,32,1,1,12,8.65,0.89,6.7,-81.2,4,5043.6,4.44,0
0.14,0.25,0.15,0.08,0.16,0.17,0.18,,183.47,-55.21,4.34,13.4,60.3,61.92,0,2,21,8.42,0.62,9999,9999,9999,6012,4.55,0
0.14,0.1,0.21,0.16,0.17,0.17,0.13,0.29,183.48,2.26,-13.56,-43.71,55.51,71.94,1,2,28,6.91,0.9,-21.8,-16.2,-10.3,5133,3.61,0
-0.14,,,,-0.16,,0,,282.51,15.31,-51.55,12.33,22.19,57.46,1,3,38,7.54,0.62,-48.7,11.3,-13.3,5834.7,4.08,0
0.13,0.18,,0.14,0.14,0.1,0.21,,85.61,-50.47,-34.44,-34.83,-10.41,50.08,1,1,10,9,0.83,-40.4,-23.7,-5.4,5296,4.35,0
-0.46,-0.51,-0.37,-0.21,-0.26,-0.35,-0.38,0.26,85.62,1.47,-6.12,-6.26,90.73,91.15,1,1,11,4.9,1.14,-74.3,-26.2,-44.6,4380,2.29,0
-0.02,,,0.09,0.04,0.08,0.3,,85.69,2.68,18.72,22.1,14.44,32.36,1,1,10,8.55,0.89,-13.5,-104.2,-18.1,5054,4.6,0
0.39,,,,0.37,,0.37,,183.61,8.78,-7.46,-43.63,33.12,55.28,1,2,20,7.48,0.62,30.6,-30.3,16.8,5669.7,4.31,0
0.55,0.42,0.56,0.39,0.5,0.55,0.5,,183.61,23.66,1.46,8.59,-87.53,87.96,1,2,25,7.35,0.66,21.9,-60.3,0.9,6264,,0
-0.69,,-0.16,-0.29,-0.55,-0.44,-0.46,,183.63,-44.11,15.93,106.24,-13.36,108.26,1,3,37,9.27,0.57,52.3,-81.4,-66.5,5849.2,3.86,0
0.2,0.32,0.12,0.28,0.2,0.22,0.23,0.1,85.75,-7.48,-14.53,-19.16,-61.47,66.01,1,2,23,8.18,0.7,-31.3,-58.5,-19.1,5815.2,4.25,0
0.09,0.03,0.08,0.11,0.09,0.04,0.12,,183.68,-24.78,2.95,27.3,10.26,29.32,1,1,11,7.46,0.71,-37.5,-12.8,-16.7,5617.5,4.43,0
0.03,-0.2,0.03,0.1,0.16,0.13,0.06,0.4,183.68,53.43,-15.19,-148.02,-4.1,148.85,1,1,10,6.18,1.06,-7.5,-17.7,1.8,,,0
0.12,-0.15,-0.15,0.02,-0.08,0.11,0.05,,85.76,56.58,-34.91,-47.2,1.93,58.73,1,1,10,6.05,0.95,31.8,-8.8,0,,,0
0.25,-0.05,0.05,0.42,0.47,0.33,0.23,1,183.75,-20.84,-1.19,-34.05,-75.52,82.85,1,1,10,5.82,1.05,3.9,-9.7,12.4,,,0
0.17,0.2,0.12,0.15,0.11,0.14,0.16,0.05,130.6,4.58,-1.75,7.5,-57.01,57.52,1,2,21,7.61,0.59,30,-50.5,-19.3,6050.3,4.26,1
-0.4,-0.2,-0.19,-0.36,-0.3,-0.41,-0.43,-0.09,183.76,30.14,0.43,15.7,-51.42,53.76,1,3,38,8.28,0.58,-9.5,2.5,39.5,5852.8,4.42,0
0.18,0.1,0.07,0.21,0.17,0.15,0.16,0.18,164.64,-39.93,-12.55,-41.17,-55.52,70.25,1,2,23,8.65,0.66,5.3,-4.4,-22,5868,,0
0.25,0.16,0.1,0.28,0.21,0.25,0.23,0.19,85.86,-47.82,14.4,24.37,23.8,36.98,1,1,11,8.5,0.86,-41,-19.2,-2.2,5264.5,,0
0.09,0.08,,0.12,0.12,0.11,0.16,-0.01,183.78,-7.26,0.12,19.77,-29.11,35.19,1,1,10,7.34,0.82,-28.3,-37.8,6.8,,,0
-0.51,-0.76,-0.24,-0.3,-0.18,-0.28,-0.45,0.19,282.8,59.39,-90.86,-5.19,28.34,95.32,1,2,29,4.64,1.19,-21.9,-3.9,-39.9,4516,2.28,0
-0.1,-0.06,,-0.02,-0.09,-0.05,-0.01,,85.87,-25.62,-22.33,-38.57,-23.73,50.49,1,2,28,8.69,0.7,13.3,3.4,-4.9,5576,4.43,0
0.1,0.32,0.05,-0.05,0.04,0.19,0.25,,85.88,-39.41,3.59,6.29,-52.52,53.02,1,3,33,6.26,0.38,-6,-16.6,3.9,6917.2,4.61,0
-0.66,-0.42,-0.15,-0.32,-0.41,-0.45,-0.41,-0.45,183.79,-10.31,0.15,-14.11,17.34,22.35,1,3,39,6.11,0.47,53.1,-70.9,-61.2,6152.9,4.36,0
-0.07,0.03,-0.1,-0.05,-0.05,0.01,0.01,,282.83,-44.48,44.77,3.99,-24.17,51.04,1,3,38,7.55,0.53,61.6,-32.7,-27.2,6291,4.49,0
-0.38,,-0.36,-0.3,-0.39,-0.4,-0.38,,282.85,38.63,18,2.02,24.16,30.19,1,3,38,7.15,0.59,-22,7.8,-43.2,5877,4.34,0
0.2,-0.02,0.13,0.24,0.22,0.22,0.17,0.58,67.14,15.96,17.86,42.18,-11.9,47.33,1,2,29,3.84,0.95,-41.6,-19.5,-0.3,5012.3,2.92,0
